"","age","pCO2","pCO2_sd","pCO2_rhat","pCO2_n.eff","MAT","MAT_sd","MAT_rhat","MAT_n.eff","PCQ_to","PCQ_to_sd","PCQ_to_rhat","PCQ_to_n.eff","tsc","tsc_sd","tsc_rhat","tsc_n.eff","MAP","MAP_sd","MAP_rhat","MAP_n.eff","PCQ_pf","PCQ_pf_sd","PCQ_pf_rhat","PCQ_pf_n.eff","Tsoil","Tsoil_sd","Tsoil_rhat","Tsoil_n.eff","S_z","S_z_sd","S_z_rhat","S_z_n.eff","f_R","f_R_sd","f_R_rhat","f_R_n.eff","spre","spre_sd","spre_rhat","spre_n.eff","pore","pore_sd","pore_rhat","pore_n.eff","temp_diff","temp_diff_sd","temp_diff_rhat","temp_diff_n.eff"
"14",0.353,349.123775858758,126.400895793295,1.00078689396281,3000,8.31198935028328,3.33970486749806,1.00068005533378,3000,10.7705731904001,2.29235684213354,1.00150848386869,2000,0.302032200384356,0.156623184192128,1.0010267008527,3000,633.998352629477,212.8626897017,1.00051016164204,3000,0.451222457585517,0.131384214419074,1.00057799327614,3000,11.2577062410266,4.90313705938218,1.00149682557926,3000,1512.17539349447,774.21001018099,1.00074297296577,3000,0.132653122892637,0.0680373835320384,1.00395507677136,2700,0.561881613391789,0.0724725630069713,1.00232320430475,1100,0.493778065648932,0.0262371288884621,1.00144655306785,2100,4.98449991252436,2.87148658844051,1.00383438302727,1000
"15",0.362,345.987862077946,124.624329362513,1.00082734663674,3000,8.0674667298095,3.22095364220605,1.00207682215979,1300,10.7211258644501,2.30464720367677,1.00057046102956,3000,0.312830837389153,0.154838584481446,1.00061113493649,3000,661.825757363086,206.662354506067,1.00124030814637,2700,0.446726583344219,0.12754007589898,1.000594892845,3000,11.08075153064,4.80994199363964,1.00151448123636,2000,1798.17072455654,1397.12638358921,1.00058713972361,3000,0.139912032894262,0.0702498768156924,1.00066323999903,3000,0.557586906508905,0.0699968028780112,1.00356643527097,650,0.494378512596009,0.0259154155192372,1.00057367591756,3000,4.98349556440518,2.94213335180518,1.00077738369468,3000
"16",0.371,333.593547638203,126.800150547717,1.00218736402451,1200,7.26675085096762,2.79303705731133,1.00231364493658,1100,10.8625189115376,2.30397453663647,1.0022440909148,1100,0.365902656056494,0.13929938227325,1.00055649840675,3000,689.864899104636,195.743287614312,1.00082391686225,3000,0.44508278918152,0.131168354259776,1.00198266417279,1800,10.7889742319417,4.03135272604679,1.0015786408807,1900,2040.15887626129,1301.06436454375,1.00071526540902,3000,0.150113418312786,0.0742577749913891,1.00187897119038,3000,0.563836248798765,0.0699647707830244,1.00099104095148,3000,0.492675413222573,0.025920352184334,1.00067502078576,3000,5.01008217681888,2.91278101500993,1.00294234850333,1000
"17",0.434,335.866118867465,125.841549664972,1.00233580215117,1100,7.65727446788435,2.99592793059793,1.00103827985382,3000,10.8279204676494,2.32924773064892,1.00226860226199,1100,0.3482517327179,0.148326864903465,1.00227540286918,1100,685.78523017874,200.653604426323,1.00306026961803,1200,0.452787632600775,0.137358735295692,1.00056634102601,3000,10.9797193866736,4.42443209515719,1.00168691727426,1700,2426.52231929912,3850.70955799695,1.00253020775942,990,0.148082840197183,0.0726397995244208,1.00118319182471,2900,0.560453848223737,0.0716696961889458,1.00128214848742,2600,0.492475664521992,0.0262048963963659,1.0009066927647,3000,5.08020757692498,2.87212074370484,1.00086324618722,3000
"18",0.439,355.537755829519,127.237507063443,1.00096425704763,3000,8.3493495749003,3.34906936871221,1.00180321383115,1500,10.719988704758,2.3234393231142,1.00140427543683,2200,0.284001354590401,0.158671187032319,1.00055798071998,3000,621.879812050972,217.915059454986,1.00188361679518,1900,0.450236318747595,0.131265922527073,1.00081438440979,3000,11.1170655745982,5.0672339473956,1.00156761304376,1900,1474.45654354599,834.843174125296,1.00069600306699,3000,0.133141363010917,0.0697465843145168,1.00265171857882,1300,0.559601679764691,0.0679791315713421,1.00102570901016,3000,0.493865747601811,0.0260125865732748,1.00086182831757,3000,5.07962052574216,2.90740854403888,1.00198972903497,2900
"19",0.448,346.949578076403,125.968743395611,1.00054040598137,3000,8.25645650073339,3.25896924888415,1.00080212663692,3000,10.7292849207221,2.28599583894923,1.0006793247955,3000,0.299484467904181,0.157614493673439,1.00432779065344,1400,667.613128213868,210.181784119527,1.00161389108717,1800,0.458068511308026,0.130559552319722,1.0014401747226,2100,10.9935856371214,4.8752191866473,1.00166124397402,3000,1987.46829595756,1394.92995871079,1.00117760010418,3000,0.141948948020129,0.0712321114690315,1.00063232300019,3000,0.55749047781443,0.0705158614878499,1.0017369767689,1600,0.494523585794601,0.0261632192467805,1.00060343627934,3000,5.11364815142379,2.87093095658119,1.00128669661398,3000
"20",0.46,339.194088557897,126.39478478762,1.00153692207919,1900,7.82102985390287,3.06789265492581,1.00184497901328,1500,10.813681364244,2.30736378893165,1.00090487168071,3000,0.34097742733171,0.150561829561566,1.0009840980148,3000,697.313340866549,193.970362409139,1.00103313386425,3000,0.462657611511865,0.140109082595742,1.00125104109761,2700,10.9627200516608,4.43944936784651,1.00246090722743,1700,2733.94250872321,3990.20276108669,1.0012415202789,3000,0.151569836223609,0.0729854127685239,1.0020505763209,3000,0.561549205225474,0.0690434158228785,1.00154728787153,1900,0.492478748856905,0.0258934260443489,1.00063308592094,3000,4.9960038134462,2.878283189189,1.0005537841736,3000
"21",0.468,345.261236708556,126.482662241504,1.00214948499864,1200,8.20842938573342,3.25417114298797,1.00121008635804,2800,10.7534178301631,2.32771598773927,1.0012463715715,2700,0.310253321562199,0.155766666265785,1.00704268952373,660,657.173873725805,210.674255281323,1.00383164918906,630,0.453928072105345,0.131411008168501,1.00106936910428,3000,11.1969761237593,4.90025908453103,1.00384773148828,600,1909.13284639099,1184.11653213969,1.00487617734011,460,0.145314078570281,0.0713977861094841,1.00513499938898,430,0.558926620026609,0.0705937678804557,1.00179795669643,1500,0.493116345620637,0.0259708399086932,1.00062161059686,3000,5.07368226887011,2.84526292751845,1.01346684544743,460
"22",0.648,341.203587353339,125.110453177791,1.00153144185693,1900,7.79853465202169,3.11730285930853,1.00058520456599,3000,10.7810811217776,2.33510368175203,1.00083969588689,3000,0.338526685156936,0.151194964476873,1.0038518596483,2100,667.956367730827,202.508429695717,1.00093794950228,3000,0.443632803680437,0.128632475236269,1.00087611334451,3000,11.0904711867393,4.5692705057801,1.00050471042382,3000,1863.99826315389,1119.36063621043,1.00083931298115,3000,0.145818360843656,0.0711984267587918,1.00080400477098,3000,0.560446264626352,0.0710884238224491,1.00101481997025,3000,0.492767527757709,0.0258807943249673,1.00167798568077,1700,4.94552578821893,2.87545070943294,1.0005198107217,3000
"23",0.657,353.571953438087,126.491374279707,1.00344219604419,680,8.00079246152792,3.15964068278725,1.00107382019493,3000,10.6641657706861,2.30979899276534,1.00088926611829,3000,0.313235754400644,0.154575031100967,1.0026857654571,920,630.459423335041,214.238846819922,1.00331926030551,710,0.438200708663047,0.125083957815809,1.0008765882027,3000,11.14317490151,4.76689940883174,1.00325569392949,730,1387.35935061561,697.598961843346,1.00567646128231,390,0.134004456821297,0.069212831089295,1.00316614234783,3000,0.559055911076993,0.0692599978861415,1.00209081177684,1300,0.494253604972901,0.0257046422597142,1.00221605892047,1200,5.07278972982282,2.88111655820635,1.00058261120282,3000
"24",0.666,351.399478808155,127.405823641214,1.0022157344597,1200,7.73883568437019,3.00038098993225,1.00061106079697,3000,10.8264284303457,2.29106845772162,1.00225610994465,1100,0.33974458660231,0.146618333234617,1.0008246490175,3000,643.974091528924,209.009604715799,1.00186901036323,1500,0.431578440416375,0.122119070328225,1.00141022824921,2200,11.2463502191479,4.38394798861757,1.00061662186161,3000,1413.33867174255,699.753321591033,1.00215681323776,1200,0.134622349743702,0.0689804239164345,1.00092459480672,3000,0.559499759701737,0.0702385947162865,1.0014248319966,2200,0.493801255664298,0.025828840559058,1.00079441527201,3000,5.00624521639765,2.8877455609918,1.0091210903506,640
"25",0.674,373.557466874171,127.136852259438,1.0059662163401,370,9.01943554095303,3.49379689484083,1.00168312026747,1700,10.7086285063209,2.28403706356689,1.00139456300376,2200,0.262877152958638,0.155147053175521,1.0059170066173,580,550.419637202663,226.563593968114,1.00433693950898,520,0.460482853613241,0.132945731192835,1.00050114438782,3000,11.7075907173083,5.1441624717274,1.00334004615582,710,961.224015442981,415.116605022874,1.00775804283828,280,0.115500846308701,0.06340531260981,1.00103018696924,3000,0.553681082442166,0.0692415633309091,1.00081329078206,3000,0.495680766947547,0.0258744285251534,1.00058658116014,3000,5.01524265011666,2.87337002043234,1.00108337440669,3000
"26",0.72,345.72339050326,129.164656107214,1.0007216882103,3000,7.7614600178246,2.9982539665106,1.00093005100979,3000,10.819730280232,2.29904963656878,1.00087381484877,3000,0.332114857183768,0.149319136990862,1.00980819980159,580,640.784767361578,211.096050035779,1.00351139980095,670,0.437306767132056,0.124331596768606,1.0005799040427,3000,11.1729105725592,4.47570429259362,1.0029805812798,810,1516.1125437409,816.041721489629,1.00255824122829,970,0.139641944071081,0.06936228907876,1.00079771830674,3000,0.558744068544644,0.0702253935177015,1.000809674023,3000,0.494048157058951,0.0256379512896924,1.0010056189609,3000,4.99064329465203,2.91397450977842,1.00159028446917,2400
