"","age","ice_forcing"
"432",2.149,-2.54
"433",2.148,-2.34
"434",2.147,-2.07
"435",2.146,-1.71
"436",2.145,-1.25
"437",2.144,-0.86
"438",2.143,-0.53
"439",2.142,-0.32
"440",2.141,-0.2
"441",2.14,-0.12
"442",2.139,-0.06
"443",2.138,-0.03
"444",2.137,-0.02
"445",2.136,-0.02
"446",2.135,-0.02
"447",2.134,-0.02
"448",2.133,-0.03
"449",2.132,-0.04
"450",2.131,-0.06
"451",2.13,-0.09
"452",2.129,-0.13
"453",2.128,-0.2
"454",2.127,-0.29
"455",2.126,-0.46
"456",2.125,-0.67
"457",2.124,-0.82
"458",2.123,-0.89
"459",2.122,-0.96
"460",2.121,-1.01
"461",2.12,-1.04
"462",2.119,-1.06
"463",2.118,-1.04
"464",2.117,-0.98
"465",2.116,-0.93
"466",2.115,-0.89
"467",2.114,-0.87
"468",2.113,-0.88
"469",2.112,-0.91
"470",2.111,-0.96
"471",2.11,-1.03
"472",2.109,-1.09
"473",2.108,-1.14
"474",2.107,-1.18
"475",2.106,-1.19
"476",2.105,-1.16
"477",2.104,-1.14
"478",2.103,-1.1
"479",2.102,-1.04
"480",2.101,-0.96
"481",2.1,-0.87
"482",2.099,-0.78
"483",2.098,-0.73
"484",2.097,-0.72
"485",2.096,-0.73
"486",2.095,-0.76
"487",2.094,-0.82
"488",2.093,-0.9
"489",2.092,-1.05
"490",2.091,-1.27
"491",2.09,-1.49
"492",2.089,-1.69
"493",2.088,-1.85
"494",2.087,-1.94
"495",2.086,-2.02
"496",2.085,-2.09
"497",2.084,-2.14
"498",2.083,-2.18
"499",2.082,-2.21
"500",2.081,-2.24
"501",2.08,-2.27
"502",2.079,-2.31
"503",2.078,-2.36
"504",2.077,-2.44
"505",2.076,-2.52
"506",2.075,-2.6
"507",2.074,-2.65
"508",2.073,-2.7
"509",2.072,-2.74
"510",2.071,-2.78
"511",2.07,-2.79
"512",2.069,-2.78
"513",2.068,-2.75
"514",2.067,-2.67
"515",2.066,-2.59
"516",2.065,-2.5
"517",2.064,-2.36
"518",2.063,-2.17
