Samples_Sample_ID,Level_composite_TF,Age,d13C,d18O,D47,d13C stdev,d18O stdev,D47 stderr
BB10-012,295.5,56.84375,-9.324985849,-4.804301553,,0.052237946,0.059433779,
BB10-012,295.5,56.84375,-9.159893194,-4.671182188,,0.053665883,0.080825461,
BB10-012,295.5,56.84375,-10.00795333,-4.15615057,,0.058691862,0.13947486,
BB10-013,297,56.7875,-9.692333333,-3.709222222,,0.066332496,0.043904568,
BB10-013,297,56.7875,-9.510888889,-3.767222222,,0.074136323,0.029365986,
BB10-013,297,56.7875,-9.787222222,-3.271555556,,0.086715211,0.03192874,
BB10-013,297,56.7875,-9.729,-3.757555556,,0.088628438,0.018700119,
BB10-014,299,56.7125,-9.622567352,-3.506438883,,0.033154192,0.039579006,
BB10-014,299,56.7125,-9.329587193,-3.280530806,,0.052033095,0.038799629,
BB10-014,299,56.7125,-9.338282056,-3.062390476,,0.058402076,0.098532511,
BB10-014,299,56.7125,-9.306376995,-2.956603679,,0.057694356,0.020095582,
BB10-015,302,56.6,-9.337555556,-4.096666667,,0.060260776,0.023989581,
BB10-015,302,56.6,-9.550111111,-4.422,,0.039077203,0.036097091,
BB10-016,302.5,56.58125,-10.97956667,-4.528177778,,0.072434645,0.073245212,
BB10-016,302.5,56.58125,-11.11578889,-4.6824,,0.030540047,0.049431771,
BB10-016,302.5,56.58125,-9.725344444,-4.026288889,,0.084246662,0.067210077,
BB10-016,302.5,56.58125,-9.959566667,-4.340955556,,0.071730592,0.077600651,
BB10-017,303,56.5625,-9.563677778,-4.275288889,,0.074296702,0.102547279,
BB10-017,303,56.5625,-9.897566667,-3.517288889,,0.058815625,0.07809894,
BB10-017,303,56.5625,-9.621233333,-3.511844444,,0.034495571,0.065673012,
BB10-017,303,56.5625,-9.670788889,-4.310066667,,0.071914494,0.063557061,
BB10-018,305.5,56.46875,-10.33347086,-3.517315245,,0.097115485,0.02621679,
BB10-018,305.5,56.46875,-9.546666667,-3.698222222,,0.053390074,0.071776466,
BB10-018,305.5,56.46875,-10.27722222,-3.971888889,,0.17324052,0.093781809,
BB10-018,305.5,56.46875,-10.57122222,-5.519222222,,0.091292266,0.029212345,
BB10-019,307,56.4,-9.5,-4.2,0.5920,0.06,0.1,0.019711328
BB10-019,307,56.4125,-9.8789,-3.907066667,,0.044856562,0.042476464,
BB10-019,307,56.4125,-9.606344444,-3.531066667,,0.090004167,0.080240264,
BB10-019,307,56.4125,-9.784344444,-3.6204,,0.048877398,0.080470491,
BB10-019,307,56.4125,-9.818566667,-3.644288889,,0.06517306,0.04571591,
BB10-020,308.5,56.35625,-10.161,-4.189111111,,0.049746859,0.02444779,
BB10-020,308.5,56.35625,-9.742888889,-4.232777778,,0.023063921,0.040562024,
BB10-020,308.5,56.35625,-9.943888889,-3.738111111,,0.076306582,0.039616214,
BB10-020,308.5,56.35625,-9.773888889,-3.678222222,,0.024595618,0.020294362,
BB-TF1-14-002,309,56.3375,-12.12337343,-4.331924035,,0.08491957,0.08028439,
BB10-021,309.5,56.31875,-11.65134444,-5.039177778,,0.045650849,0.05467505,
BB10-021,309.5,56.31875,-11.60212222,-5.167511111,,0.080398141,0.083345832,
BB10-021,309.5,56.31875,-11.39512222,-5.641733333,,0.07743456,0.056273884,
BB10-021,309.5,56.31875,-10.29656667,-5.015177778,,0.049975272,0.067798312,
BB-TF1-14-003,310,56.3,-10.43913375,-4.105757208,,0.061114646,0.151026488,
BB-TF1-14-004A,320.5,55.99803922,-9.415570398,-4.579133379,,0.040087405,0.14398611,
PS2-Bk,,55.9,-9.4,-4.7,0.5822,0.11,0.1,0.007588828
PS4-Bk,,55.8,-9.8,-4.9,0.5949,0.06,0.1,0.0193496
BB-TF1-14-004B,329,55.75359477,-9.187502826,-4.009434169,,0.046778734,0.084373673,
BB-TF1-14-004B,329,55.8,-9.2,-4.7,0.6458,0.02,0.1,0.014966153
BB-TF1-14-005,330.5,55.71045752,-9.57780072,-4.33438107,,0.044609416,0.127611389,
PS5-Bk,,55.7,-9.2,-4.5,0.5810,0.05,0.1,0.011553819
BB-TF1-14-006,331.5,55.68169935,-9.638285595,-4.566677648,,0.012922848,0.070670008,
BB-TF1-14-007,334,55.60980392,-9.341257363,-4.572001658,,0.07193979,0.068283722,
BB-TF1-14-008,337,55.52352941,-9.642412931,-4.562825993,,0.03920034,0.097887691,
BB10-030,337.5,55.50915033,-9.2569,-4.838622222,,0.053175287,0.047249633,
BB10-030,337.5,55.50915033,-9.262788889,-4.803288889,,0.441273095,0.89431521,
BB10-030,337.5,55.50915033,-9.186344444,-4.2544,,0.065400688,0.074909946,
BB10-030,337.5,55.50915033,-9.634011111,-4.538733333,,0.045265881,0.038108398,
BB10-031,338.5,55.48039216,-9.433641086,-4.035430522,,0.071406037,0.038725214,
BB10-031,338.5,55.48039216,-9.479659099,-4.09949608,,0.035957701,0.05975286,
BB10-031,338.5,55.48039216,-9.532589592,-3.997807645,,0.039179076,0.050247931,
BB10-031,338.5,55.48039216,-9.480479126,-4.166668701,,0.045159347,0.038093309,
BB-TF1-14-009,339,55.46601307,-9.280344942,-4.610701819,,0.064953188,0.11146711,
BB-TF1-14-010,340.5,55.42287582,-9.133955768,-4.035101465,,0.027932955,0.112050584,
PS7-Bk1,,55.4,-9.2,-4.5,0.5773,0.06,0.1,0.007857345
PS7-Bk2,,55.4,-9.2,-4.4,0.5870,0.07,0.1,0.011240641
BB10-032,342,55.37973856,-9.306984995,-3.648323876,,0.052174053,0.121926931,
BB10-032,342,55.37973856,-9.141226417,-3.723311218,,0.034323443,0.051675513,
BB10-032,342,55.37973856,-9.182257908,-3.784867544,,0.053399407,0.098321252,
BB10-032,342,55.37973856,-9.206753361,-3.602882838,,0.055897735,0.043213297,
BB10-032,342,55.4,-9.0,-4.7,0.6018,0.05,0.1,0.008621653
BB-TF1-14-011,342.5,55.36535948,-9.197503792,-4.148546096,,0.061318839,0.250147123,
BB-TF1-14-011,342.5,55.36535948,-9.214788438,-4.084168494,,0.067031842,0.05138093,
BB-TF1-14-012,344,55.32222222,-9.487400691,-3.934434752,,0.058143501,0.082127442,
BB-TF1-14-013,348,55.20718954,-9.405016978,-4.013271191,,0.032026031,0.207838679,
BB-TF1-14-014,349.5,55.16405229,-9.760310571,-4.295956039,,0.057592679,0.084523665,
BB-TF1-14-015,352,55.09215686,-9.40051321,-3.50679694,,0.084122926,0.182275204,
BB-TF1-14-015,352,55.09215686,-9.513312667,-3.862851922,,0.015198684,0.059343632,
BB10-034,353,55.06339869,-10.28107586,-4.192157027,,0.048588339,0.058232759,
BB10-034,353,55.06339869,-10.31128049,-4.206009667,,0.0555357,0.045107125,
BB10-034,353,55.06339869,-10.13456985,-4.184630174,,0.041708473,0.040912667,
BB10-034,353,55.06339869,-10.23071104,-4.192544078,,0.044099557,0.052547747,
BB-TF1-14-016,353.5,55.04901961,-9.818774754,-3.913034183,,0.056929781,0.11529961,
BB-TF1-14-016,353.5,55.04901961,-10.00998475,-3.949349209,,0.061064369,0.063647326,
BB-TF1-14-017,354.5,55.02026144,-9.746789806,-4.904439475,,0.064437955,0.072482182,
PS12-Bk,,55,-8.9,-3.9,0.6027,0.05,0.0,0.001315155
PS12-Bknod2,,55,-8.9,-4.0,0.5676,0.01,0.1,0.003919479
BB10-035,356,54.97712418,-10.19333333,-4.701,,0.103897786,0.046019018,
BB10-035,356,54.97712418,-9.665111111,-4.856222222,,0.060309848,0.035144148,
BB10-035,356,54.97712418,-9.744333333,-4.754666667,,0.043563173,0.071391526,
BB10-035,356,54.97712418,-10.11255556,-4.626222222,,0.039891868,0.045663017,
BB10-035,356,55.0,-9.6,-4.9,0.6149,0.01,0.1,0.014578628
BB12-PETM1,358.5,54.90522876,-10.85895902,-5.054352414,,0.022736312,0.028685719,
BB-TF1-14-019,358.5,54.90522876,-9.809300321,-4.520715745,,0.048506872,0.101431011,
BB-TF1-14-019,358.5,54.90522876,-9.863189088,-4.52970515,,0.045503336,0.069953045,
BB-TF1-14-020,360,54.8620915,-10.09422655,-4.648650653,,0.047989582,0.078146764,
BB12-PETM2,360.5,54.84771242,-9.574893799,-4.26953727,,0.076184146,0.056482436,
BB-TF3-14-001,361,54.83333333,-8.9068214,-3.665729189,,0.020848661,0.094616331,
BB-TF3-14-002,362,54.80457516,-9.496504925,-3.5678373,,0.034082009,0.050347956,
BB-TF3-14-003,366,54.68954248,-9.550502475,-3.525626042,,0.032118271,0.037025892,
