"age","d11B","d11Bse","d18O","MgCa","species","d13C"
56.02,NA,NA,-1,3.48,"Grub",4.02
56.018,NA,NA,-1.13,3.41,"Grub",3.9
56.007,NA,NA,-1.25,3.47,"Grub",4.15
56,NA,NA,-1.35,NA,"Grub",4.18
55.993,NA,NA,NA,3.53,"Grub",NA
55.985,NA,NA,NA,3.31,"Grub",NA
55.985,NA,NA,NA,3.45,"Grub",NA
55.985,NA,NA,NA,3.55,"Grub",NA
55.985,NA,NA,NA,3.59,"Grub",NA
55.985,NA,NA,NA,3.7,"Grub",NA
55.983,NA,NA,-1.05,NA,"Grub",3.82
55.981,NA,NA,NA,3.38,"Tsac",NA
55.981,NA,NA,-1.5,NA,"Grub",4.47
55.981,NA,NA,NA,3.31,"Grub",NA
55.975,NA,NA,NA,3.51,"Grub",NA
55.971,NA,NA,NA,3.44,"Tsac",NA
55.971,NA,NA,NA,3.45,"Grub",NA
55.971,NA,NA,NA,3.58,"Grub",NA
55.971,NA,NA,NA,4.09,"Grub",NA
55.97,NA,NA,-1.31,NA,"Grub",3.91
55.966,NA,NA,-1.14,NA,"Grub",3.89
55.965,15.4,0.165,-1.37,3.46,"Tsac",4.14
55.965,15.69,0.11,-1.42,NA,"Grub",3.94
55.965,15.76,0.22,-1.51,NA,"Grub",4.3
55.965,NA,NA,-1.68,NA,"Tsac",3.64
55.965,NA,NA,-1.55,NA,"Tsac",4.17
55.965,NA,NA,-1.34,NA,"Tsac",3.38
55.965,NA,NA,-1.19,NA,"Tsac",4.05
55.965,NA,NA,-1.14,NA,"Grub",3.81
55.961,NA,NA,-1.48,NA,"Grub",4.42
55.959,NA,NA,-1.21,NA,"Grub",3.94
55.957,15.73,0.23,-1.31,3.53,"Grub",3.64
55.957,NA,NA,-1.56,NA,"Grub",4.34
55.957,NA,NA,-1.52,NA,"Grub",2.09
55.957,NA,NA,-1.5,NA,"Tsac",3.77
55.957,NA,NA,-1.44,NA,"Tsac",3.43
55.957,NA,NA,-1.43,NA,"Grub",4.28
55.957,NA,NA,-1.25,3.43,"Tsac",3.78
55.956,14.61,0.115,NA,3.26,"Tsac",NA
55.956,15.46,0.11,NA,NA,"Grub",NA
55.954,NA,NA,NA,3.33,"Tsac",NA
55.954,NA,NA,NA,3.54,"Grub",NA
55.95,15.73,0.2,NA,3.33,"Grub",NA
55.95,NA,NA,NA,3.19,"Tsac",NA
55.95,NA,NA,NA,3.33,"Grub",NA
55.95,NA,NA,NA,3.59,"Grub",NA
55.948,NA,NA,NA,3.13,"Grub",NA
55.948,NA,NA,NA,3.21,"Grub",NA
55.948,NA,NA,NA,3.4,"Grub",NA
55.946,15.35,0.15,-1.51,3.35,"Grub",4.09
55.946,NA,NA,-1.9,NA,"Grub",4.01
55.946,NA,NA,-1.73,NA,"Grub",3.76
55.946,NA,NA,-1.66,NA,"Tsac",4.07
55.946,NA,NA,-1.5,3.81,"Grub",3.87
55.946,NA,NA,-1.47,NA,"Grub",3.97
55.946,NA,NA,-1.42,NA,"Tsac",4.02
55.946,NA,NA,-1.21,NA,"Tsac",4.03
55.944,NA,NA,NA,3.72,"Grub",NA
55.942,NA,NA,-1.58,3.53,"Grub",4.08
55.942,NA,NA,NA,3.25,"Tsac",NA
55.942,NA,NA,NA,3.31,"Tsac",NA
55.942,NA,NA,NA,3.57,"Tsac",NA
55.934,14.76,0.2,-1.9,NA,"Grub",0.61
55.934,NA,NA,-1.97,NA,"Grub",0.47
55.934,NA,NA,-1.9,NA,"Tsac",0.86
55.934,NA,NA,-1.89,NA,"Grub",0.9
55.934,NA,NA,-1.61,NA,"Tsac",2.27
55.934,NA,NA,-1.58,NA,"Tsac",1.67
55.934,NA,NA,-1.54,NA,"Tsac",1.23
55.934,NA,NA,-1.51,NA,"Tsac",1.89
55.934,NA,NA,-1.47,NA,"Tsac",1.85
55.934,NA,NA,-1.41,NA,"Tsac",1.99
55.932,14.49,0.17,-2.14,5.04,"Grub",0.72
55.932,14.51,0.12,-2.32,4.69,"Grub",0.7
55.932,NA,NA,-2.16,NA,"Grub",0.68
55.932,NA,NA,-2.1,NA,"Tsac",0.52
55.932,NA,NA,-1.99,NA,"Tsac",0.59
55.932,NA,NA,-1.96,4.7,"Grub",0.62
55.932,NA,NA,-1.93,NA,"Tsac",0.06
55.932,NA,NA,-1.85,NA,"Grub",0.3
55.93,NA,NA,-2.09,NA,"Grub",0.75
55.93,NA,NA,-2.01,NA,"Grub",0.4
55.93,NA,NA,-1.93,5.4,"Grub",0.73
55.93,NA,NA,-1.83,NA,"Tsac",1.02
55.93,NA,NA,-1.79,NA,"Grub",0.43
55.93,NA,NA,-1.68,NA,"Grub",0.71
55.93,NA,NA,-1.6,5.2,"Tsac",1.41
55.93,NA,NA,-1.57,NA,"Tsac",0.62
55.927,14.82,0.15,-1.91,5.37,"Grub",0.67
55.927,NA,NA,-2.06,NA,"Grub",0.63
55.927,NA,NA,-1.99,NA,"Grub",0.58
55.927,NA,NA,-1.96,NA,"Grub",0.7
55.927,NA,NA,-1.95,NA,"Grub",0.63
55.927,NA,NA,-1.85,NA,"Tsac",0.79
55.927,NA,NA,-1.82,NA,"Tsac",0.61
55.927,NA,NA,-1.68,NA,"Tsac",1.15
55.926,14.11,0.165,NA,NA,"Tsac",NA
55.924,NA,NA,-2.21,NA,"Grub",0.31
55.924,NA,NA,-2.14,NA,"Grub",0.97
55.924,NA,NA,-1.98,4.83,"Grub",0.59
55.924,NA,NA,-1.96,NA,"Grub",0.47
55.924,NA,NA,-1.79,5.49,"Grub",0.57
55.924,NA,NA,-1.77,5.12,"Tsac",0.96
55.924,NA,NA,-1.72,4.88,"Tsac",0.89
55.924,NA,NA,-1.44,NA,"Tsac",1.33
55.92,NA,NA,-2.17,NA,"Grub",0.62
55.92,NA,NA,-2.13,NA,"Grub",0.77
55.92,NA,NA,-1.9,NA,"Grub",1.02
55.92,NA,NA,-1.89,NA,"Grub",1.14
55.92,NA,NA,-1.86,NA,"Grub",0.93
55.92,NA,NA,-1.69,NA,"Tsac",0.92
55.92,NA,NA,-1.63,NA,"Tsac",0.92
55.92,NA,NA,-1.58,NA,"Tsac",0.83
55.917,NA,NA,-1.98,NA,"Grub",NA
55.917,NA,NA,-1.93,NA,"Grub",0.66
55.917,NA,NA,-1.81,NA,"Grub",0.99
55.917,NA,NA,-1.7,NA,"Grub",1.31
55.917,NA,NA,-1.7,NA,"Grub",1.08
55.917,NA,NA,-1.64,NA,"Tsac",1.38
55.917,NA,NA,-1.59,NA,"Tsac",1.27
55.917,NA,NA,-1.29,NA,"Tsac",0.97
55.917,NA,NA,-1.43,NA,"Grub",0.85
55.914,NA,NA,-2.1,NA,"Grub",0.94
55.914,NA,NA,-2.08,NA,"Grub",1
55.914,NA,NA,-1.93,NA,"Grub",0.57
55.914,NA,NA,-1.93,NA,"Grub",0.72
55.914,NA,NA,-1.79,NA,"Tsac",0.89
55.914,15.11,0.14,-1.95,5.09,"Grub",1.02
55.914,NA,NA,-1.74,4.67,"Tsac",0.91
55.914,NA,NA,-1.61,4.32,"Tsac",0.63
55.907,NA,NA,-2.2,NA,"Grub",1.12
55.907,NA,NA,-2.14,NA,"Grub",0.48
55.907,NA,NA,-1.99,NA,"Grub",1.32
55.907,NA,NA,-1.76,NA,"Grub",1.03
55.907,NA,NA,-1.71,NA,"Grub",1.02
55.907,NA,NA,-1.7,NA,"Tsac",1.13
55.907,NA,NA,-1.58,NA,"Tsac",2.19
55.907,NA,NA,-1.4,NA,"Tsac",1.05
55.904,NA,NA,-2.14,NA,"Grub",1.47
55.904,NA,NA,-2.05,5.28,"Grub",1.48
55.904,NA,NA,-1.92,NA,"Grub",0.64
55.904,NA,NA,-1.89,NA,"Grub",1.39
55.904,NA,NA,-1.65,4.76,"Tsac",1.32
55.904,NA,NA,-1.64,NA,"Tsac",1.27
55.904,NA,NA,-1.58,NA,"Grub",1.27
55.904,NA,NA,-1.47,4.91,"Tsac",1.35
55.901,NA,NA,-2.11,NA,"Grub",1
55.901,NA,NA,-2.03,NA,"Tsac",1.71
55.901,NA,NA,-1.76,NA,"Grub",0.64
55.901,NA,NA,-1.76,NA,"Tsac",0.83
55.901,NA,NA,-1.62,NA,"Grub",0.78
55.901,14.45,0.23,-2.03,4.83,"Grub",0.9
55.901,14.46,0.11,-2.19,NA,"Grub",0.93
55.899,13.94,0.145,-1.99,NA,"Tsac",NA
55.898,NA,NA,-1.77,NA,"Grub",1.37
55.898,NA,NA,-1.75,NA,"Grub",1.2
55.898,NA,NA,-1.62,NA,"Tsac",2.44
55.898,NA,NA,-1.62,NA,"Tsac",0.84
55.898,NA,NA,-1.54,NA,"Grub",1.13
55.898,NA,NA,-1.11,NA,"Tsac",1.22
55.894,NA,NA,-1.68,NA,"Grub",1.4
55.894,NA,NA,-1.68,NA,"Grub",1.55
55.894,NA,NA,-1.61,NA,"Tsac",1.17
55.894,NA,NA,-1.61,5.46,"Grub",1.28
55.894,NA,NA,-1.31,NA,"Grub",1.41
55.894,NA,NA,-1.17,NA,"Tsac",2.42
55.894,NA,NA,-1.08,NA,"Tsac",1.08
55.891,NA,NA,-1.87,NA,"Grub",1.22
55.891,NA,NA,-1.65,NA,"Grub",1.79
55.891,NA,NA,-1.63,NA,"Grub",1.26
55.891,NA,NA,-1.49,NA,"Grub",1.51
55.891,NA,NA,-1.33,NA,"Tsac",2.25
55.891,NA,NA,-1.31,NA,"Tsac",1.09
55.891,NA,NA,-1.25,NA,"Tsac",1.49
55.888,14.92,0.12,-1.63,5.01,"Grub",1.64
55.888,NA,NA,-1.92,5.02,"Grub",1.48
55.888,NA,NA,-1.8,NA,"Grub",1.72
55.888,NA,NA,-1.72,NA,"Grub",1.93
55.888,NA,NA,-1.7,NA,"Tsac",1.81
55.888,NA,NA,-1.67,5.1,"Grub",1.85
55.888,NA,NA,-1.56,NA,"Tsac",2.61
55.888,NA,NA,-1.51,5.27,"Tsac",1.48
55.888,NA,NA,-1.17,4.52,"Tsac",1.25
55.885,14.9,0.15,-1.84,4.41,"Grub",1
55.885,NA,NA,-1.9,NA,"Grub",1.24
55.885,NA,NA,-1.79,NA,"Grub",1.05
55.885,NA,NA,-1.67,NA,"Grub",1.73
55.885,NA,NA,-1.58,NA,"Grub",1.42
55.885,NA,NA,-1.57,NA,"Grub",1.29
55.885,NA,NA,-1.56,NA,"Tsac",1.39
55.885,NA,NA,-1.53,NA,"Tsac",1.33
55.885,NA,NA,-1.34,NA,"Tsac",1.53
55.882,NA,NA,NA,4.86,"Grub",NA
55.882,NA,NA,NA,5.22,"Grub",NA
55.872,15.09,0.12,NA,4.79,"Grub",NA
55.872,NA,NA,NA,4.53,"Tsac",NA
55.869,NA,NA,NA,4.72,"Grub",NA
55.865,NA,NA,-1.83,NA,"Grub",1.95
55.865,NA,NA,-1.65,NA,"Grub",1.72
55.865,NA,NA,-1.61,NA,"Grub",1.97
55.865,NA,NA,-1.55,NA,"Grub",1.7
55.865,NA,NA,-1.47,NA,"Tsac",2.22
55.865,NA,NA,-1.34,NA,"Tsac",1.89
55.865,NA,NA,-1.24,4.44,"Grub",2.2
55.865,NA,NA,-1.23,NA,"Tsac",1.83
55.859,NA,NA,NA,4.51,"Grub",NA
55.859,NA,NA,NA,4.88,"Grub",NA
55.853,NA,NA,-1.6,NA,"Grub",1.74
55.853,NA,NA,NA,4.06,"Tsac",NA
55.853,NA,NA,NA,4.77,"Tsac",NA
