age,IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,MATmrs,MASTsrs,BayMBT0
1.776,3%,12%,0%,0%,0%,0%,7%,18%,7%,4%,0%,0%,29%,16%,3%,15.5,12.1,17
1.783,2%,8%,0%,0%,0%,0%,4%,17%,4%,7%,0%,0%,41%,15%,3%,19.5,17.5,21.2
1.79,2%,9%,0%,0%,0%,0%,4%,25%,1%,3%,1%,2%,45%,6%,2%,20.2,18,22.1
1.799,4%,12%,0%,0%,0%,0%,6%,19%,4%,11%,0%,0%,26%,14%,5%,15.6,12.5,18.1
1.816,4%,17%,0%,0%,0%,0%,7%,19%,4%,8%,0%,0%,26%,12%,4%,14.7,10.7,17.1
1.828,6%,10%,0%,0%,0%,0%,9%,17%,3%,5%,0%,0%,30%,15%,5%,13.7,11.4,17
1.834,4%,10%,0%,0%,0%,0%,12%,18%,7%,6%,0%,0%,26%,13%,4%,11.5,8.5,13.9
1.842,1%,4%,0%,0%,0%,0%,8%,15%,8%,4%,1%,2%,32%,13%,12%,15.5,13.4,18
1.856,3%,11%,0%,0%,0%,0%,5%,24%,7%,7%,0%,0%,26%,14%,3%,16.3,13.6,17.1
1.864,4%,12%,0%,0%,0%,0%,12%,22%,6%,10%,0%,0%,23%,12%,0%,10.4,7.8,13.1
1.87,4%,14%,0%,0%,0%,0%,9%,21%,6%,9%,0%,0%,26%,11%,0%,12.9,9.8,13.9
1.878,3%,11%,0%,0%,0%,0%,7%,24%,3%,11%,0%,0%,26%,13%,4%,15.2,12.5,18.6
1.885,7%,11%,0%,0%,0%,0%,8%,20%,6%,7%,0%,0%,28%,14%,0%,13.8,11.9,15
1.893,3%,15%,0%,0%,0%,0%,9%,21%,4%,5%,0%,0%,30%,11%,2%,14,10.3,16.7
1.901,5%,13%,0%,0%,0%,0%,6%,23%,6%,5%,0%,0%,28%,13%,0%,15.2,12.9,15.8
1.914,3%,11%,0%,0%,0%,0%,4%,23%,3%,12%,0%,0%,25%,16%,2%,17.3,14.1,20.3
1.926,3%,11%,0%,0%,0%,0%,8%,22%,8%,7%,0%,0%,27%,11%,3%,14.2,11.5,15.3
1.931,4%,8%,0%,0%,0%,0%,6%,21%,5%,8%,0%,0%,28%,16%,3%,15.8,13.9,17.9
1.937,3%,8%,0%,0%,0%,0%,10%,15%,11%,7%,1%,2%,19%,19%,5%,10.6,7.3,13.5
1.946,7%,11%,0%,0%,0%,0%,6%,35%,0%,0%,0%,0%,41%,0%,0%,17.2,16,17.9
1.954,6%,15%,0%,0%,0%,0%,6%,37%,0%,0%,0%,0%,36%,0%,0%,17,14.7,18
1.963,5%,13%,0%,0%,0%,0%,10%,27%,0%,0%,0%,0%,44%,0%,0%,15.5,13.1,17.1
1.971,3%,6%,0%,0%,0%,0%,10%,26%,0%,0%,0%,0%,54%,0%,0%,17.3,16,19.6
1.98,5%,9%,0%,0%,0%,0%,10%,28%,0%,0%,0%,0%,47%,0%,0%,16.2,14.6,18.1
1.988,5%,17%,0%,0%,0%,0%,15%,28%,0%,0%,0%,0%,36%,0%,0%,12.3,9.2,13.9
1.996,2%,11%,2%,4%,1%,1%,5%,16%,8%,16%,2%,2%,15%,11%,3%,13.3,9.9,11.4
2.004,2%,12%,0%,0%,0%,0%,6%,31%,0%,0%,0%,0%,44%,4%,0%,18.2,15.7,20.9
2.01,2%,10%,0%,1%,0%,0%,7%,28%,2%,5%,0%,1%,36%,7%,1%,17.4,14.9,19.6
2.015,4%,12%,0%,0%,0%,0%,7%,22%,6%,6%,0%,0%,30%,8%,4%,15.5,12.6,16.4
2.02,4%,11%,0%,0%,0%,0%,5%,23%,6%,8%,0%,0%,34%,10%,0%,18,15.6,17.8
2.025,6%,9%,0%,0%,0%,0%,7%,23%,7%,7%,0%,0%,26%,16%,0%,14.6,13.2,15.4
2.03,8%,16%,0%,0%,0%,0%,8%,21%,0%,0%,0%,0%,34%,14%,0%,15,12.5,17.6
2.034,3%,10%,0%,0%,0%,0%,7%,16%,8%,5%,0%,0%,32%,15%,3%,16,13.3,17
2.039,4%,9%,0%,0%,0%,0%,11%,17%,5%,5%,0%,0%,35%,13%,0%,14,11.1,15.7
