site,SID,age,d13C,d18O,d13Co,D47,D47.sd
Shilou,SL23-160-190,2.948,-2.6,-8.8,-22.9,,
Shilou,SL23-205-220,2.96,-4,-9.1,-25.4,,
Shilou,SL23-290-330,3.05,-3.2,-9.2,-23.3,,
Shilou,SL23-370-380,3.078,-5.3,-9,-21.7,,
Shilou,SL23-410-430,3.091,-4.9,-9,-21.4,,
Shilou,SL23-500-510,3.119,-5.3,-9,-22.4,,
Shilou,SL23-510-520,3.126,-6.1,-9.3,-22.7,,
Shilou,SL23-630,3.167,-6.3,-8.7,-21.2,,
Shilou,SL23-640-650,3.171,-5.1,-9.1,-21.9,,
Shilou,SL23-710-720,3.201,-4.8,-9,-22,,
Shilou,SL23-720-730,3.211,-4.5,-8.8,-26,,
Shilou,SL23-770-780,3.26,-4.5,-9.6,-21,,
Shilou,SL23-800-810,3.28,-5.2,-9.3,-22.7,,
Shilou,SL23-880-890,3.368,-6.3,-9.4,-22.6,,
Shilou,SL23-940-960,3.426,-6.1,-9.2,-27,,
Shilou,SL23-990-1000,3.475,-5.2,-8.8,-21.2,,
Shilou,SL23-1040-1050,3.527,-5.9,-8.7,-23.4,,
Shilou,SL01-0-80,3.548,-3.8,-8.5,-24.3,0.604,0.011
Shilou,SL01-110-120,3.665,-4.5,-8.9,-24.4,,
Shilou,SL01-200-220,3.764,-4.6,-8.4,-24.7,,
Shilou,SL01-310-330,3.916,-5.3,-8.8,-25.1,0.632,0.016
Shilou,SL01-570-580,4.164,-6.5,-8.8,-23.4,,
Shilou,SL01-630-650,4.196,-6.1,-8.9,-24.4,,
Shilou,SL01-960,4.512,-5.6,-8.6,-23.5,0.611,0.011
Shilou,SL01-1160-1200,4.697,-7,-9.6,-25.6,,
Shilou,SL01-1220-1250,4.763,-5.7,-9.1,-24.1,,
Shilou,SL01-1340-1360,4.927,-5.1,-9.3,-23.9,,
Shilou,SL01-1380,4.982,-6.7,-6.7,-25.1,,
Shilou,SL01-1430-1450,5.053,-5.7,-9,-23.4,0.578,0.01
Shilou,SL01-1650-1700,5.325,-6.6,-8.6,-24.1,,
Shilou,SL01-1840-1850,5.47,-6.9,-9.8,-24.5,,
Shilou,SL01-2100-2200,5.658,-5.4,-8.8,-24.7,,
Shilou,SL01-2150,5.695,-5.6,-9.2,-24.7,,
Shilou,SL01-2300-2400,5.81,-7.2,-9.8,-24.5,,
Shilou,SL01-2420,5.904,-6.2,-9.5,-25.5,,
Shilou,SL01-2440,5.92,-7,-9.3,-23.2,,
Shilou,SL01-2450,5.927,-6.4,-9.2,-28,,
Shilou,SL01-2500,5.967,-6.6,-9.9,-24.7,0.605,0.01
Shilou,SL01-2510,5.974,-6.2,-9.1,-26.9,,
Shilou,SL01-2550,6.006,-7.8,-9.6,-24.3,,
Shilou,SL01-2570,6.019,-7.1,-9.5,-24.5,,
Shilou,SL01-2610,6.042,-6.3,-9.4,-23.8,,
Shilou,SL01-2650,6.065,-6.2,-9.2,-26.5,,
Shilou,SL01-2710,6.099,-5.9,-9.3,-25.4,,
Shilou,SL01-2800,6.15,-5.7,-9.3,-27.5,,
Shilou,SL01-2840,6.173,-5.9,-9.1,-27.1,,
Shilou,SL01-2860,6.184,-5.2,-9.1,-25.2,,
Shilou,SL01-2890,6.201,-5.6,-9.1,-24.4,,
Shilou,SL01-2960,6.241,-5.9,-8.9,-26.6,,
Shilou,SL01-3000,6.264,-6,-9.2,-25.5,,
Shilou,SL01-3040,6.286,-6.1,-9.2,-24.6,,
Shilou,SL01-3050,6.292,-6.3,-9.3,-24.5,,
Shilou,SL01-3100-3150,6.32,-5.2,-8.7,-23.6,,
Shilou,SL01-3230,6.394,-4.6,-9,-23.3,,
Shilou,SL01-3290,6.428,-5.2,-9,-24.7,,
Shilou,SL01-3300-3400,6.434,-5.1,-9.1,-24.7,,
Shilou,SL01-3360,6.468,-5,-9.2,-25.4,,
Shilou,SL01-3420,6.502,-5.1,-9,-24.4,,
Shilou,SL01-3450,6.519,-5.1,-8.8,-25,,
Shilou,SL01-3580,6.593,-5.5,-8.8,-26.2,0.633,0.015
Shilou,SL01-3610,6.61,-5.2,-9.1,-25.3,,
Shilou,SL01-3660,6.638,-5.5,-8.9,-26,,
Shilou,SL01-3700,6.662,-5.3,-8.9,-25.3,,
Shilou,SL01-3770,6.707,-5.3,-9.1,-24.9,,
Shilou,SL01-3790,6.72,-6,-9.3,-23,,
Shilou,SL01-3830,6.745,-5.7,-9.2,-25.2,,
Shilou,SL01-3870,6.768,-5.7,-9.1,-24.6,,
Shilou,SL01-3880,6.774,-5.8,-9.4,-24.4,,
Shilou,SL01-4000,6.841,-6.1,-9.2,-25.7,,
Shilou,SL01-4040,6.864,-6.6,-8.9,-25.2,,
Shilou,SL01-4110,6.911,-6.9,-9.2,-25.1,,
Shilou,SL01-4130,6.924,-7,-9.3,-24.9,,
Shilou,SL01-4170,6.951,-6.1,-9.2,-25.7,,
Shilou,SL01-4180,6.958,-6.2,-9.4,-25.7,,
Shilou,SL01-4250,7.005,-6,-8.9,-26.6,,
Shilou,SL01-4290,7.032,-6.1,-9.1,-25.4,0.625,0.01
